Title,Description,Publication Date,date_time,scale,location,intensity
Aviso de Sismo Sentido no Arquipélago dos Açores  17-01-2024  17:44,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  17-01-2024  17:44</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 17-01-2024 pelas 17:44 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 2.5 (Richter) e cujo epicentro se localizou a cerca de 4 km a Norte-Nordeste de Sta Bárbara (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima III (escala de Mercalli modificada) na freguesia das Cinco Ribeiras, Conselho de Angra do Heroísmo, ilha Terceira .<br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Qua, 17 Jan 2024 20:57:07</b></small></td>  </tr></table>",2024-01-17 20:57:07,17-01-2024 pelas 17:44 (hora local),2.5,4 km a N-NE de Sta Bárbara (Terceira),Sem info a esta hora
Aviso de Sismo no Continente  17-01-2024  09:59,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo no Continente  17-01-2024  09:59</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 17-01-2024 pelas 09:59 (hora local) foi registado nas estações da Rede Sísmica do Continente, um sismo de magnitude 3.0 (Richter) e cujo epicentro se localizou a cerca de 12 km a Oeste-Noroeste de Ferreira do Alentejo.<br/>Até à  elaboração deste comunicado não foi recebida nenhuma informação confirmando que este sismo tenha sido sentido.<br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Qua, 17 Jan 2024 10:26:56</b></small></td>  </tr></table>",2024-01-17 10:26:56,17-01-2024 pelas 09:59 (hora local),3.0,12 km a W-NW de Ferreira do Alentejo,Sem info a esta hora
Aviso de Sismo Sentido no Arquipélago dos Açores  15-01-2024  23:32,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  15-01-2024  23:32</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 15-01-2024 pelas 23:32 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 2.5 (Richter) e cujo epicentro se localizou a cerca de 4 km a Nordeste de Sta Bárbara (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima II/III (escala de Mercalli modificada) nas freguesias de Cinco Ribeiras e Santa Bárbara [Terceira].<br/><br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Ter, 16 Jan 2024 01:14:03</b></small></td>  </tr></table>",2024-01-16 01:14:03,15-01-2024 pelas 23:32 (hora local),2.5,4 km a NE de Sta Bárbara (Terceira),II/III
Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  16:47,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  16:47</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 14-01-2024 pelas 16:47 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 3.0 (Richter) e cujo epicentro se localizou próximo de Raminho (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima III/IV (escala de Mercalli modificada) na freguesia de Raminho [Terceira].<br/>Foi ainda sentido com menor intensidade nas freguesias de Doze Ribeiras, São Bartolomeu de Regatos e Terra Chã [Terceira].<br/><br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Dom, 14 Jan 2024 18:31:48</b></small></td>  </tr></table>",2024-01-14 18:31:48,14-01-2024 pelas 16:47 (hora local),3.0,,III/IV
Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  07:19,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  07:19</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 14-01-2024 pelas 07:19 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 4.5 (Richter) e cujo epicentro se localizou próximo de Serreta (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima V (escala de Mercalli modificada) nas freguesias de Altares, Cinco Ribeiras, Doze Ribeiras, Raminho, Santa Bárbara e Quatro Ribeiras [Terceira].<br/>Foi ainda sentido com menor intensidade nas freguesias de Nossa Senhora da Conceição, Santa Luzia, São Pedro, Sé, Feteira, Posto Santo, Ribeirinha, São Bartolomeu de Regatos, São Bento, Terra Chã, Vila de São Sebastião, Agualva, Biscoitos, Fontinhas, Lajes, São Brás e Vila Nova [Terceira].<br/><br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Dom, 14 Jan 2024 09:49:08</b></small></td>  </tr></table>",2024-01-14 09:49:08,14-01-2024 pelas 07:19 (hora local),4.5,,Sem info a esta hora
Aviso de Sismo no Continente  18-02-2024  18:16,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo no Continente  18-02-2024  18:16</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 18-02-2024 pelas 18:16 (hora local) foi registado nas estações da Rede Sísmica do Continente, um sismo de magnitude 3.1 (Richter) e cujo epicentro se localizou a cerca de 40 km a Sudoeste de Faro.<br/>Até à  elaboração deste comunicado não foi recebida nenhuma informação confirmando que este sismo tenha sido sentido.<br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Dom, 18 Fev 2024 18:32:59</b></small></td>  </tr></table>",2024-02-18 18:32:59,18-02-2024 pelas 18:16 (hora local),3.1,40 km a SW de Faro,Sem info a esta hora
Aviso de Sismo Sentido no Arquipélago dos Açores  17-01-2024  17:44,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  17-01-2024  17:44</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 17-01-2024 pelas 17:44 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 2.5 (Richter) e cujo epicentro se localizou a cerca de 4 km a Norte-Nordeste de Sta Bárbara (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima III (escala de Mercalli modificada) na freguesia das Cinco Ribeiras, Conselho de Angra do Heroísmo, ilha Terceira .<br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Qua, 17 Jan 2024 20:57:07</b></small></td>  </tr></table>",2024-01-17 20:57:07,17-01-2024 pelas 17:44 (hora local),2.5,4 km a N-NE de Sta Bárbara (Terceira),Sem info a esta hora
Aviso de Sismo no Continente  17-01-2024  09:59,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo no Continente  17-01-2024  09:59</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 17-01-2024 pelas 09:59 (hora local) foi registado nas estações da Rede Sísmica do Continente, um sismo de magnitude 3.0 (Richter) e cujo epicentro se localizou a cerca de 12 km a Oeste-Noroeste de Ferreira do Alentejo.<br/>Até à  elaboração deste comunicado não foi recebida nenhuma informação confirmando que este sismo tenha sido sentido.<br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Qua, 17 Jan 2024 10:26:56</b></small></td>  </tr></table>",2024-01-17 10:26:56,17-01-2024 pelas 09:59 (hora local),3.0,12 km a W-NW de Ferreira do Alentejo,Sem info a esta hora
Aviso de Sismo Sentido no Arquipélago dos Açores  15-01-2024  23:32,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  15-01-2024  23:32</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 15-01-2024 pelas 23:32 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 2.5 (Richter) e cujo epicentro se localizou a cerca de 4 km a Nordeste de Sta Bárbara (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima II/III (escala de Mercalli modificada) nas freguesias de Cinco Ribeiras e Santa Bárbara [Terceira].<br/><br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Ter, 16 Jan 2024 01:14:03</b></small></td>  </tr></table>",2024-01-16 01:14:03,15-01-2024 pelas 23:32 (hora local),2.5,4 km a NE de Sta Bárbara (Terceira),II/III
Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  16:47,"<table style=""width:470px; text-align:center"" border=""0"" cellpadding=""1"" cellspacing=""0"" > <tr><td style=""height:1; bgcolor:#BCD1DF""></td></tr>  <tr>    <td style=""height:30px; background-color:#E4EDF2; text-align:center; vertical-align:middle""><b>Informação  Sismológica</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;"" ></td></tr>  <tr><td style=""height:10px""></td></tr>  <tr>    <td style=""height:20px; text-align:center; vertical-align:middle""><em>Titulo:</em> <b>Aviso de Sismo Sentido no Arquipélago dos Açores  14-01-2024  16:47</b></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr>    <td style=""text-align:justify; vertical-align:top""><br/>O Instituto Português do Mar e da Atmosfera informa que no dia 14-01-2024 pelas 16:47 (hora local) foi registado nas estações da Rede Sísmica do Arquipélago dos Açores, um sismo de magnitude 3.0 (Richter) e cujo epicentro se localizou próximo de Raminho (Terceira).<br/>Este sismo, de acordo com a informação disponível até ao momento, não causou danos pessoais ou materiais e foi sentido com intensidade máxima III/IV (escala de Mercalli modificada) na freguesia de Raminho [Terceira].<br/>Foi ainda sentido com menor intensidade nas freguesias de Doze Ribeiras, São Bartolomeu de Regatos e Terra Chã [Terceira].<br/><br/>Se a situação o justificar serão emitidos novos comunicados.<br/><br/>A localização do epicentro de um sismo é um processo físico e matemático complexo que depende do conjunto de dados, dos algoritmos e dos modelos de propagação das ondas sísmicas. Agências diferentes podem produzir resultados ligeiramente diferentes. Do mesmo modo, as determinações preliminares são habitualmente corrigidas posteriormente, pela integração de mais informação. Em todos os casos acompanhe sempre as indicações dos serviços de proteção civil. Toda e qualquer utilização do conteúdo deste comunicado deverá sempre fazer referência à fonte.<br/><br/></td>  </tr>  <tr><td style=""height:1px; background-color:#BCD1DF;""></td></tr>  <tr style=""vertical-align:middle"">    <td style=""text-align:center; vertical-align:middle""><small><em>Data de Edição:</em> <b>Dom, 14 Jan 2024 18:31:48</b></small></td>  </tr></table>",2024-01-14 18:31:48,14-01-2024 pelas 16:47 (hora local),3.0,,III/IV
